Animal ID,Outcome Date,Outcome Type,Age upon Outcomes(years)
A735620,2016-09-27,Transfer,0.0
A744164,2017-02-25,Transfer,2.0
A601095,2015-03-27,Adoption or RTO,4.0
A771802,2018-06-19,Adoption or RTO,0.0
A683523,2014-07-14,Transfer,0.0
A748284,2017-05-05,Adoption or RTO,0.0
A683323,2014-07-22,Transfer,0.0
A772744,2018-06-01,Adoption or RTO,0.0
A682547,2015-02-14,Adoption or RTO,2.0
A802930,2019-09-03,Transfer,0.0
A679033,2014-07-12,Adoption or RTO,0.0
A687155,2015-02-20,Adoption or RTO,0.0
A697301,2015-03-09,Transfer,2.0
A815398,2020-03-15,Adoption or RTO,1.0
A716627,2015-11-30,Adoption or RTO,0.0
A704683,2015-06-08,Transfer,0.0
A786118,2018-12-22,Adoption or RTO,0.0
A717680,2015-12-16,Transfer,0.0
A804060,2019-10-19,Adoption or RTO,0.0
A765038,2018-01-12,Adoption or RTO,0.0
A755592,2017-09-20,Adoption or RTO,0.0
A735683,2016-10-20,Transfer,2.0
A740848,2016-12-25,Transfer,1.0
A688068,2014-09-15,Transfer,0.0
A720583,2016-02-12,Euthanasia,0.0
A633363,2019-09-17,Adoption or RTO,7.0
A824215,2020-10-15,Adoption or RTO,0.0
A702504,2015-05-14,Transfer,0.0
A706832,2015-07-03,Euthanasia,2.0
A802002,2019-08-17,Adoption or RTO,0.0
A794708,2019-05-15,Adoption or RTO,0.0
A760937,2017-10-31,Transfer,0.0
A702028,2015-05-08,Transfer,0.0
A747397,2017-05-29,Adoption or RTO,3.0
A729854,2016-06-24,Transfer,0.0
A763386,2017-12-13,Transfer,1.0
A673445,2014-02-26,Transfer,1.0
A689903,2014-11-30,Adoption or RTO,0.0
A785482,2018-12-07,Transfer,0.0
A751253,2017-06-25,Died or Missing,0.0
A713898,2015-10-15,Transfer,0.0
A719980,2016-02-05,Adoption or RTO,0.0
A662647,2013-10-06,Adoption or RTO,0.0
A774499,2018-06-21,Adoption or RTO,0.0
A707978,2015-10-08,Transfer,0.0
A687319,2014-09-09,Adoption or RTO,2.0
A765027,2018-01-18,Adoption or RTO,3.0
A679210,2014-11-14,Transfer,0.0
A687841,2015-01-01,Adoption or RTO,8.0
A753447,2017-07-06,Transfer,0.0
A805596,2019-09-29,Transfer,0.0
A779912,2018-11-29,Adoption or RTO,1.0
A776876,2018-08-12,Adoption or RTO,0.0
A706468,2015-06-29,Transfer,0.0
A793698,2019-07-16,Adoption or RTO,0.0
A666506,2013-12-11,Transfer,0.0
A731191,2016-07-19,Transfer,0.0
A791260,2019-05-02,Adoption or RTO,1.0
A675847,2014-04-01,Transfer,0.0
A758176,2017-10-05,Transfer,0.0
A773703,2018-08-04,Adoption or RTO,0.0
A792483,2019-05-14,Adoption or RTO,0.0
A823224,2020-11-21,Adoption or RTO,0.0
A673603,2014-03-01,Transfer,1.0
A820358,2020-09-17,Adoption or RTO,0.0
A688879,2014-09-28,Transfer,0.0
A820062,2020-10-01,Adoption or RTO,2.0
A763103,2018-01-29,Adoption or RTO,0.0
A723187,2016-04-01,Transfer,2.0
A713692,2015-11-06,Transfer,0.0
A795959,2019-06-22,Adoption or RTO,0.0
A724901,2016-04-24,Adoption or RTO,2.0
A754290,2017-07-27,Adoption or RTO,0.0
A735187,2016-09-30,Transfer,0.0
A682447,2014-06-28,Euthanasia,0.0
A721308,2016-02-24,Transfer,0.0
A675803,2014-04-01,Transfer,0.0
A774637,2018-10-20,Adoption or RTO,1.0
A786978,2019-01-12,Adoption or RTO,0.0
A676275,2014-06-03,Adoption or RTO,0.0
A758423,2017-09-17,Adoption or RTO,7.0
A734298,2016-09-10,Transfer,0.0
A776388,2018-07-27,Adoption or RTO,6.0
A776951,2018-07-21,Transfer,0.0
A824830,2020-12-22,Adoption or RTO,0.0
A748821,2017-05-07,Transfer,0.0
A679243,2014-05-17,Transfer,0.0
A714723,2015-10-27,Transfer,0.0
A758877,2017-09-27,Transfer,0.0
A674674,2014-03-16,Transfer,0.0
A650635,2014-01-13,Euthanasia,3.0
A821565,2020-10-06,Adoption or RTO,0.0
A816431,2020-06-30,Adoption or RTO,0.0
A667201,2016-01-16,Adoption or RTO,2.0
A771317,2018-05-07,Adoption or RTO,0.0
A777762,2018-08-06,Adoption or RTO,0.0
A688366,2014-09-22,Adoption or RTO,0.0
A703980,2015-05-31,Transfer,0.0
A729888,2016-07-02,Adoption or RTO,0.0
A770601,2018-12-18,Adoption or RTO,0.0
A771376,2018-05-08,Transfer,0.0
A727411,2016-05-22,Transfer,0.0
A739206,2017-02-25,Adoption or RTO,0.0
A733396,2016-08-21,Transfer,0.0
A693099,2014-12-19,Adoption or RTO,0.0
A731686,2016-08-20,Adoption or RTO,2.0
A813020,2020-02-16,Adoption or RTO,9.0
A701584,2015-06-03,Adoption or RTO,0.0
A722935,2016-03-28,Adoption or RTO,10.0
A729808,2016-08-14,Adoption or RTO,0.0
A726001,2016-05-05,Transfer,0.0
A708894,2015-09-05,Adoption or RTO,1.0
A794547,2019-05-15,Transfer,0.0
A676631,2014-04-24,Transfer,0.0
A814170,2020-04-04,Adoption or RTO,5.0
A716402,2015-11-21,Adoption or RTO,1.0
A781477,2018-10-06,Adoption or RTO,0.0
A798354,2019-08-04,Adoption or RTO,0.0
A689156,2014-10-19,Adoption or RTO,13.0
A752810,2017-08-05,Adoption or RTO,0.0
A667273,2013-11-20,Transfer,2.0
A685491,2014-08-17,Transfer,0.0
A706579,2015-09-07,Adoption or RTO,0.0
A746989,2017-04-22,Adoption or RTO,3.0
A674563,2014-03-16,Transfer,1.0
A737397,2016-11-05,Adoption or RTO,0.0
A670146,2014-01-17,Transfer,1.0
A804199,2019-09-11,Transfer,0.0
A725156,2016-12-16,Adoption or RTO,0.0
A738385,2016-11-15,Transfer,1.0
A704554,2015-06-12,Transfer,0.0
A669168,2013-12-19,Adoption or RTO,1.0
A752025,2017-07-30,Transfer,0.0
A821278,2020-08-18,Adoption or RTO,0.0
A738124,2016-11-23,Adoption or RTO,0.0
A728658,2016-06-29,Adoption or RTO,0.0
A810322,2019-12-18,Adoption or RTO,0.0
A680154,2014-07-02,Adoption or RTO,0.0
A775790,2018-07-05,Euthanasia,2.0
A714705,2015-10-27,Transfer,0.0
A796156,2019-07-06,Adoption or RTO,0.0
A718643,2016-04-09,Adoption or RTO,0.0
A788230,2019-02-03,Transfer,1.0
A764109,2018-01-13,Adoption or RTO,0.0
A747965,2017-04-27,Transfer,0.0
A727860,2016-05-31,Transfer,2.0
A713400,2015-10-08,Transfer,0.0
A785541,2018-12-11,Adoption or RTO,0.0
